block,code,msg_type,sender,pool_id,denom_in,amount_in,denom_out,amount_out
4707456,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo19l9wsymdh3mp7munzrlk8rs03ttnu2uaujyktu,585,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,94000000,gamm/pool/585,16480013270863120900
4707458,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1s54f0mcw0naj4gjpw4h3sg0cte9q0933j08ks4,678,uosmo,918000000,gamm/pool/678,101621093183584428522
4707459,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo19fttjs5fm7lcftvrfphnptvnkyu8ru4vl0p2r8,629,uosmo,7229403,gamm/pool/629,5352699133818467
4707462,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1me3hg2l74zn5ag9y879u7re4cp4dxea9h5d45s,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,437578,gamm/pool/678,43413675986379509
4707463,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo182dudq2zyucgrax5uk6tws0mxne7zv39v08u6r,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,8357326,gamm/pool/604,20317783821768
4707463,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo19l9wsymdh3mp7munzrlk8rs03ttnu2uaujyktu,584,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,34000000,gamm/pool/584,1980194983149532720
4707463,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1kw6ktgk0lc9z28yrqgshmlksm8cauemwtl98gl,712,uosmo,6000000,gamm/pool/712,405832140706847988
4707468,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo182dudq2zyucgrax5uk6tws0mxne7zv39v08u6r,662,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,312,gamm/pool/662,1261213752
4707468,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo19l9wsymdh3mp7munzrlk8rs03ttnu2uaujyktu,585,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,66000000,gamm/pool/585,11570035271719596936
4707469,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,3,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,968355,gamm/pool/3,14852646348020463142
4707475,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo13mge79znmgpd0pw2flxdmjclnpztfz8s5c683h,1,uosmo,5000000,gamm/pool/1,23622534512116457577
4707477,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,9,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,311275327,gamm/pool/9,181989620496565278939
4707485,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,601,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,91668,gamm/pool/601,614802815330635
4707493,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,690,ibc/CBA34207E969623D95D057D9B11B0C8B32B89A71F170577D982FDDE623813FFC,2461818,gamm/pool/690,722316670977487273
4707493,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo174t89zdyqgj8wy4pd5g6u2hyngn36az37733jt,641,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,1516998,gamm/pool/641,1280258786742052450
4707503,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo16sktkgs03rx60acfxlf7wknykmqjzmf5hfmtd9,712,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,332981,gamm/pool/712,6046761873292264532
4707506,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,619,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,1123975,gamm/pool/619,31800232561185045
4707507,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1hxyvd58453qyyammn728dfp62mzlndfurps3ck,722,uosmo,22000000,gamm/pool/722,55494811967927094740
4707508,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,605,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,304959689886,gamm/pool/605,27575951579981735007801
4707513,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,605,uosmo,12400000,gamm/pool/605,27489996159834415889573
4707517,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo174t89zdyqgj8wy4pd5g6u2hyngn36az37733jt,606,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,1299958199,gamm/pool/606,76315457517530371559
4707519,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1jgyg82qf7td99qu3gr2wqm59gtwfal6les9q4q,712,uosmo,15000000,gamm/pool/712,1014904048239131902
4707519,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo19kcyp8e05qtz68hj5c39nqehgj8k7lyvdpph02,497,uosmo,300,gamm/pool/497,49573864420587
4707521,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,3907745,gamm/pool/604,9500945730645
4707524,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo19kcyp8e05qtz68hj5c39nqehgj8k7lyvdpph02,9,uosmo,100,gamm/pool/9,37416087398198335
4707525,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1c287zjexmmgsxg9rdqjdaq59k07vty3weaqnsh,704,uosmo,2273720,gamm/pool/704,93066195268662702
4707528,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,605,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,838700000,gamm/pool/605,75840600285260596529
4707529,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo174t89zdyqgj8wy4pd5g6u2hyngn36az37733jt,712,uosmo,3800175,gamm/pool/712,257130670489227958
4707539,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17d6eypvgf9p8cqfvfdpm5wldjlglvhz89ext68,712,uosmo,35000000,gamm/pool/712,2368187758359103130
4707542,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1wq0gn3nvucx3mwspg8jgt67mh4lju5a5q7d7fl,9,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1,650374141400,gamm/pool/9,379861288607744990120017
4707544,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,641,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,1894587196,gamm/pool/641,1598864803313260193592
4707549,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1ec2n066vacf203m9078prdjwk6lurl48z77q67,606,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,19204710636,gamm/pool/606,1127431477283897390749
4707549,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo174t89zdyqgj8wy4pd5g6u2hyngn36az37733jt,629,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,154200000000000000000,gamm/pool/629,885216994402562
4707550,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,641,uosmo,26777333,gamm/pool/641,842401188325721487074
4707558,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo182dudq2zyucgrax5uk6tws0mxne7zv39v08u6r,629,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,193500000000000000000,gamm/pool/629,1111268216823115
4707567,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,716,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,5638821941427528,gamm/pool/716,8734198493559
4707568,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1sx2qexffa63d6hda8zt6zfx7gm0hvdkfwq83fe,674,uosmo,12862328,gamm/pool/674,2288589768436372107
4707569,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1n2gwr7w3hrnl9wznypspyj93er6vs86e9fg7uj,1,uosmo,40497,gamm/pool/1,191271418530953738
4707569,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1wh44dywkzrmdxysxs83l4lzagd2rq9w69082qy,601,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,344801,gamm/pool/601,2313902102513984
4707579,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1wh44dywkzrmdxysxs83l4lzagd2rq9w69082qy,605,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,504661462,gamm/pool/605,45637112486327772099
4707580,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,662,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,2855562792,gamm/pool/662,11544312151712772
4707580,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1dpxsw03kvdndml7ft9t5sfqfcr8jw2w6a0f09n,605,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,3044500000,gamm/pool/605,275317559768884757157
4707585,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1c9cyawq49lzmcyvxhgc6l97x6a5gnq3m3ppac6,712,uosmo,28000000,gamm/pool/712,1898047128595492456
4707586,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1dpxsw03kvdndml7ft9t5sfqfcr8jw2w6a0f09n,662,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,7571650000,gamm/pool/662,30610188992685286
4707589,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,573,ibc/4E5444C35610CC76FC94E7F7886B93121175C28262DDFDDE6F84E82BF2425452,1135247,gamm/pool/573,270479189011183
4707592,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1dpxsw03kvdndml7ft9t5sfqfcr8jw2w6a0f09n,629,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,690000000000000000000,gamm/pool/629,3966171345337600
4707603,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17fzx4rvw04586s8f2c2vv53pe3yypu0cx4y3tw,625,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,879455,gamm/pool/625,3466309888493052540
4707607,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1teacm29ysv3qpku2hhyyqc7eppwrkkestypvl4,674,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,33424030000000000000,gamm/pool/674,5318975638053706206
4707612,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,712,uosmo,622,gamm/pool/712,42163697801299
4707614,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1ve5k4ul2fj42heup7ac7qvkhxzfzjrf6ep8ess,561,uosmo,2500000,gamm/pool/561,73559646089678781551
4707619,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1teacm29ysv3qpku2hhyyqc7eppwrkkestypvl4,674,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,33526821411613408603,gamm/pool/674,5335416223840412942
4707621,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1ve5k4ul2fj42heup7ac7qvkhxzfzjrf6ep8ess,497,uosmo,2500000,gamm/pool/497,413099312198657853
4707622,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,712,uosmo,287457,gamm/pool/712,19485932321461868
4707622,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo189cmht765327dcz8nahu2x5ffmr0mt70a6jkhs,722,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,3429994000000000000,gamm/pool/722,16124448894806591629
4707629,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1zjvmzhmwgc33whmraf0matar8z97tc79tqm4tc,1,uosmo,1100023,gamm/pool/1,5190819852096457553
4707646,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo189cmht765327dcz8nahu2x5ffmr0mt70a6jkhs,722,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,1844339629376711851,gamm/pool/722,8662102051815542247
4707646,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1eah7djz8ryuqdryemmxglukupyhzkqptezzat6,678,uosmo,7283493,gamm/pool/678,808495695767009087
4707652,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1r836dhm0v2jfwemnruu33yrnngux4n60w4gsua,712,uosmo,6708102,gamm/pool/712,454823447316412676
4707653,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo189cmht765327dcz8nahu2x5ffmr0mt70a6jkhs,722,uosmo,3408529,gamm/pool/722,8658845314655055505
4707653,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1pl60dp0rp6gjehe3fmtczxcyv4c9ufxlj3qsfl,712,uosmo,48041,gamm/pool/712,3257279745865512
4707654,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1kxldgfz4ave9u2xqkkcgx4vpvpfp5vpyknakv2,712,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2656,gamm/pool/712,48135049521809892
4707657,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1l372a7lvjq9jy8hdpg0n3srl60f9we3qvzczpd,712,uosmo,761979,gamm/pool/712,51663763240774479
4707659,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1cj3930jpt3eg0p3pen7jszq9avur56y6gmt9wn,712,uosmo,14750049,gamm/pool/712,1000083158316558175
4707659,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1sj4cvxylw858myduumtvfdxnqvgq6xu7cfl8zg,1,uosmo,250123,gamm/pool/1,1180027859205076020
4707660,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo13ml8ncuzcecwq5mxpk2n3lef8pckr588s67mtd,678,uosmo,30000000,gamm/pool/678,3329578689344785947
4707661,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1zz3fgakx8az5rvpkn0elme0eqsdmwzxcnlc5a0,712,uosmo,14000000,gamm/pool/712,949226759010933617
4707663,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1sj4cvxylw858myduumtvfdxnqvgq6xu7cfl8zg,1,uosmo,1725639,gamm/pool/1,8141185646398927516
4707664,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1jtxtcyuhmm5gc43rnhxnp4n2u87j280c5f5xf2,678,uosmo,3900000,gamm/pool/678,432845967746485776
4707666,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1hcj67a0jfmy3pk4nth37zc2jntw5my53vgkxw6,604,uosmo,969671,gamm/pool/604,84015146486849
4707666,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo16sfdm4q4ezj5y4j8l8flt8pws5w80d27hqafyg,584,uosmo,4285525,gamm/pool/584,218885601014302126
4707666,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1ywkye03t4ggyrpv97xqc27cvxt0rxhvntfdvem,712,uosmo,2023324,gamm/pool/712,137173089931897238
4707666,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1xx2jqhfvw2qzy6ta2mxeu9lr2k864puh5czyeh,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,8591589,gamm/pool/604,20887634719112
4707666,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17qy5dh52emhdxj9jsrggz5e2aq8rcyeff8qkz6,704,uosmo,25591720,gamm/pool/704,1047916610668175257
4707666,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1s9hnn9p5ap80x9374mq38rxua7ruxqxtws4s9l,678,uosmo,12514616,gamm/pool/678,1388954126610699505
4707668,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo10ka033a6vx803h7hd4mfe3l8ky0txwcqyunzdj,690,uosmo,4300000,gamm/pool/690,16712830797826716264
4707672,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1pj5nh6el0j9y4khkcnwsjl2qa08rjg2f5rfl9q,712,uosmo,21789702,gamm/pool/712,1477255547088480137
4707672,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1sv2ymu68zq2jrrrtcvxph6hwv68cxd3mutvnwt,674,uosmo,3167296,gamm/pool/674,564786586085607418
4707674,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,3,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,1,gamm/pool/3,15346674689041
4707674,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17sd7mszsl9psxzp5yktgtjm5udjv22ws0kfu3s,9,uosmo,1760803,gamm/pool/9,659526392102382751745
4707675,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1lmrk3mzv46lmvszj67awwjpzzqdmye8uqmmvy4,678,uosmo,1709116,gamm/pool/678,189697828852404229
4707676,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1sdq9u34fc5c4c87c4yk2kwahaq54yyul76htac,722,uosmo,8042951,gamm/pool/722,20382100264753276837
4707677,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1lk8shnyphvqd0un4muj54cc97lhq7ptnvj476p,1,uosmo,87161,gamm/pool/1,411208451033355128
4707677,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo17329x9x02qepkaqfx8rpyvn2x0pp5v3f7w3qtt,712,uosmo,2768048,gamm/pool/712,187662428777297136
4707677,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1qee74jx279gpnuwg94x2qdck8khawm8w3j347l,719,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,1510,gamm/pool/719,23645249545562837
4707678,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1damt355s4kvqtcf4w56p89v5krxlyx5wds89x0,712,uosmo,1000000,gamm/pool/712,67795929957547623
4707678,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1c00gs86v833tz0ax85rd5l57ggqgduwp26fdmf,704,uosmo,28876,gamm/pool/704,1182567335776916
4707680,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1hl4xhpchu4a5tc9h95539qe7v2tc7ajaluk298,712,uosmo,9600000,gamm/pool/712,650840533949292231
4707682,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1g659w4l93h7f6ljmcn95m0ygxzq4nq4vfx03qc,619,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,20,gamm/pool/619,566104921182
4707685,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1kgkkx7vjs3k7dlfdrxp53wnhu32lgfzpv0nwdr,712,uosmo,4094786,gamm/pool/712,277619752356305197
4707685,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,577,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,26,gamm/pool/577,4562660988
4707685,0,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,719,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,3350955,gamm/pool/719,52472920482869676330
