sender,estimate_gamm_out,recorded_gamm_out,extra_gamm
osmo1lj72jml6hw635cek9hep62u3hvfwng9e2e3r09,1456075285019143962624,2183028319293324558852,0.49925511527697064
osmo1rsks3gfv2rcf3atj8gs09yyhrftyn7j5vuu9v7,2603225269744643072,3903519659099240076,0.49949361066326237
osmo1jxpztalf3skjftyrlf3tpd3c94g2nqkanr7c3a,130016939323421253173248,130016939323421211876746,-3.3306690738754696e-16
osmo1vtmpjl927zgwa8ht6mt75zsfyx75xdqpcu4atn,2219210503414837376,3327724050960207545,0.49950806642255485
osmo1z98eg2ztdp2glyla62629nrlvczg8s7f8sgpm5,47976170471494025216,71939629717184710670,0.4994867037153172
osmo1mxpjsl4gppu3al5c0hm5ttm8hf9zpdhctafmxy,28904414783766,43383443519119,0.5009279324169214
osmo1nl09n46sfnk0z8jk33mvu9u6lz5ymqj4hmj84x,799007980631208886272,1197976972779704593189,0.4993304219981807
osmo18e9g3kfkzc9n9aet5c9eqwvt6ay5raar8m9e6q,18842185189065527296,28253828031285243781,0.4994984789599388
osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,2625609142896788736,3937082154080190497,0.4994928566315382
osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,4200940033147856128,6299327254628655834,0.4995042073734226
osmo1ltuj2v832rsxgfcfk696r9zm0rm2j26as7wn3x,92610275524960480,138868630033148525,0.49949483732742395
osmo1akm0t858fwhk73982p9wz53hwvvvl4a5gc25lq,340261314202113472,510221732969028828,0.4994996835460399
osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,73647864371744055296,110434995160557996331,0.49950030598481
osmo1g66a5sn0fgfw9wskzvlw39rsxgq9lqd6alweck,39845950454868344832,59748936151678057356,0.49949832968228214
osmo1x63tv5csgv6mpsckq90p6h3tlufuxv35lceay7,3525034774101597952,5285788736891885722,0.4994997427334711
osmo12asyaccxrau33q8l780cgzkyzydqngfvla7deg,2091865121056775168,3136229255099975222,0.4992502258059568
osmo17urqyrawvju9u3t345d6v3e5ty3mk3hft3aa3v,27925150603767982080,41873703223957939318,0.499497847589329
osmo1u5m59uvat5wakk9w3d5fgrnxryfkn6krm4qsx5,183626010923568218112,275347210768138039069,0.49950004023529915
osmo1ufvxkljcsy9u38vjj06j2x0fxy962xwxgmdfa0,1018355634959057536,1526983708055347187,0.4994601646376109
osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,73453476620085993472,110143514231372110867,0.49950035450402575
osmo1evxw84lfmevdajh6xelu4rp46kux8fmjxkw4sr,3640488826514168320,5458902897133493751,0.49949722613501013
osmo1qurmjyezm4yy3tuhwgelpjcwrtd40ftcwpl5yd,57781486888831581945856,86643030214166628540006,0.49949464576540015
osmo1zf9wvyqsk8qqu3leavjxna8mwlvkxd3x96fgcz,68953078017582555136,68953078017582351892,-2.9976021664879227e-15
osmo1m6jkgwxj35a77k7n67nj5susc84m5n6mfy3ku0,16037753225966874624,24048552153497765356,0.4994963330998592
osmo1jr6mlu93x74ffpfvswkav33pxzqa8puujztrc4,338425905531169108131840,338425905531169011636256,-3.3306690738754696e-16
osmo1c7zy976xxc64ymlny8qsts299ylqwmq52ysy7j,49329386163638040,73969451553409107,0.49950075008097095
osmo15xd8465ylem38zkerjc8vn04h00n9zwurukg99,526593912329787342848,789626044343570126494,0.4994970998621324
osmo1mnufmmgrvc6tpfe6ayr679xnmhkewcsgdjqmgn,5301399978745513984,7949407120057919326,0.4994920496338424
osmo13hvvnhjlyj6wxqccgehpkhldtkj2fpc6j40895,169817835606326837248,254639751202570337869,0.49948767332589483
osmo1alwjdff8sgejhv3u5rtylatury4cuvr7y49s7h,20699374503730429820928,31038672547326874582850,0.49949809071443685
osmo15q08u2gz05hshx6hr6pxq8auzuysl5jvtk8j6q,53380748065271746560,80044461820486818379,0.4995005638102299
osmo1lynjdpkq8gmw7lqr6jd7udh0xm68006g8p8hk0,2759041390259396864,2759041390259017611,-1.3744561044859438e-13
osmo1n6mqdxjlwvda8zgcw5t503gprnhn6gvs787drw,392546960747010592,588624072888055673,0.49949975862228935
osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,4084387919103622,6123512581190601,0.4992485293939697
osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,46645009209972920320,69943726610921337991,0.4994900375315403
osmo1heqtu4cum6fs9rg9mj754ycvfdgl9ssm3n8j6n,563064761931420032,844173976967604339,0.49924845957670283
osmo1dffxgxg79rfqh54lfz7xpx93qjdt38wksq9dgs,5900384491141463552,8847633592879096509,0.4995011945683341
osmo1t5lx9y368e0fsf8yr84hqwdy3rqtut3p2n48qg,66073749005112442880,99077275722763402852,0.49949529449429786
osmo1klmkrcz8el7jr3waczxgptfuhd5cj0ej4s2yw2,1708817888583903616,2562352098499206298,0.49948810555970136
osmo1jaey7087uuncesrxp0fk7frxwv4kyu6ywa480r,257872696945940256,386615487800313809,0.49924940631214954
osmo1gp437zc9e4gsuugn6udcve2vdarlrqf9cpk3f2,390192066946807968,585075055494459852,0.49945399985340777
osmo1ve5k4ul2fj42heup7ac7qvkhxzfzjrf6ep8ess,31314005204292792320,46955281260024261731,0.4994977791466686
osmo1xv6t5tqgglgwd0ngysm2h0qhkjs77euuprc6pc,13751428330876170240,20620274961554131105,0.4995005948040536
osmo17wklrv0g6y0vw0cc88fn07h3hg90fjylpkxxcj,17761038801837888512,26632664526141696769,0.4994992592091958
osmo16c0gt6s25js2ey6z7ggesy97nzsy0j6fustk6z,7760719287723801088,11637189896199434630,0.4994988820955786
osmo1l02m8ug9cdm5s9p4qntt82ykjgkpyuw9u260yp,164941313766491648,247371109577830066,0.49975226902845415
osmo1ep44f78erwu37s6dm6he95m85u2ayhw4jarws3,237255024438390752,355739849994041684,0.4993985937120522
osmo1qw8vwzfzquczf43gpk909tcrl5dnqe953l8hm0,4353100727270318080,6527459961172796666,0.49949665080824945
osmo1nmea788jgcg3vl57spy8c94a0ycws8cpdfhm0z,4760228823188994560,7137959591983604777,0.4994992587775875
osmo1jtd6xjzzhyedpuu03ksggyadrdxjw8ps9wrag8,28171973234014169088,42243869905168958160,0.49949985946191067
osmo1z7qd2j77knchudz3a98r2e0dkquhx3r3pzslt7,6493110703521164800,9736417883083911475,0.4994997509905268
osmo1u870ksd35rctnae70kl602hzrqcnwe8tg8422j,4201964781651558656,6300585185951129099,0.4994378852158583
osmo1wd4wc8t8ctan5zeq4nxdntnxaq6cspyj5jf4t9,24629159063395870720,36931378890887096279,0.4994981678353332
osmo1smrlapzwyv23cvna6s7jkwnenvcvcwnc62n2n6,28925907929190,43367046154813,0.499245806250044
osmo1d6qk37ycqp49e458n0gghwrcl0pzrdylg89yvw,36419239559817875456,54611189623226139158,0.4995148246719525
osmo1u870ksd35rctnae70kl602hzrqcnwe8tg8422j,4388923309184952832,6581203963059397272,0.4995030670247831
osmo1tvx0tmstj9zx0d25mcg8rr7man3x6qqrqzkq5c,41387133499584704,62060023182064648,0.4995003986610327
osmo10dc7lataqm62tze9tm47f8sesrws709zfd3xhh,88822195579388760,133188934388324594,0.49950058675684383
osmo1yeav86f6h0uehruhgu2jlpk6j5esfnyfpzfltk,781237606816314,1171270143721796,0.4992495669722503
osmo1p8ew2l88udgdam8qa7pa8ez9qyazljps38hm2a,439211852493375712,658601247623209779,0.4995070007432072
osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,4251130236960741,6434094393380119,0.5135020652719509
osmo1d6qk37ycqp49e458n0gghwrcl0pzrdylg89yvw,152578491083092832,228791544830367264,0.4995006386959844
osmo13gd97ke6erejqk2p050xkpc63jhtujrevjue5p,69144263614980505600,103681477161879885638,0.4994949941070266
osmo1smrlapzwyv23cvna6s7jkwnenvcvcwnc62n2n6,24081623087317482,36104390509989905,0.4992507099325949
osmo15qtsn35ggl0dmm6qcxv3445pwa3gh5t5hpkwjm,66374618627151824,99528767658404127,0.4995004071886291
osmo1q4edn2j8gewak9rctjeyw9nntwv4wwj36nyv8y,80407465780552048640,120571004635771009266,0.4995001206086167
osmo1k0lf96eev5zuqwdjtalzsu6ugqjjj7ynymkze7,33256130485291078,49876734106398455,0.4997756316976967
osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,41926651103297630208,62869433264612743741,0.49951001594944744
osmo1rysg5xsecpa2gqdxv2kr00dqys63gt8eekg0d2,149030983309197120,223434620074885035,0.4992494521177615
osmo1g659w4l93h7f6ljmcn95m0ygxzq4nq4vfx03qc,4129359225605401,6194276468031243,0.5000575463674044
osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,4863602145219714,7291750408602970,0.4992489498282273
osmo16vypav8wwznpq4x0sgjv8k4l34urv5vg09xhyj,11119231520757209104384,16673276261952145980928,0.49949897444142
osmo1gwg4xrru3gtls2z9syretn7zquxc4a8agu9pt0,579367305652931968,868761362986240794,0.4995001521654199
osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,556243080489,834215254806,0.4997314736439171
osmo1j9gc8kex8djc8y9ns83v0f46kt2rrkdzy6lpks,26317006243274804,39455758923463717,0.4992495179251806
osmo19jtn9xx65x5q5z5d5k2egkk2h25a9pqfxtr2jl,21819354332944848,32712673965369574,0.4992503199774798
osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,47591787894788706304,71363418704462892370,0.4994901822605655
osmo14mz27u8mqdhh5wqpv6qkxkcvalxw2gxejjrxx4,3386392041179869952,5077907638930670035,0.49950377191456274
osmo10zw447gf2dyr5suraf4ddmuutznwtlwr6p2kpk,158424836293746112,237558216625913624,0.499501102121646
osmo1597ul4wuad2kftqapd8w3733350zl3pwr8e9eq,10755520069312502784,16127890334570480612,0.49949888342325255
osmo1jmcqdyh9auemdr35xnqsywpagd9ty3yxqqgh55,1000772016796870080,1500740510289613541,0.49958280717417747
osmo1j9gc8kex8djc8y9ns83v0f46kt2rrkdzy6lpks,1231254788019210813440,1231254788019103160695,-8.748557434046234e-14
