block,sender,msg_type,pool_id,denom_1,original_amount_1,adjusted_amount_1,denom_2,original_amount_2,adjusted_amount_2,relative_extra_percent
4708779,osmo1gqylk9jknp043qd79thldxalz6vhnr4txtn7u4,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,76961,3,uosmo,603205,19,3.1265777980436684e-05
4708780,osmo18qp6u0mvs7ac89gkn6r5j5jqu90zp74ym9hz5v,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,793901585,24022,uosmo,22313082,676,3.0257469187498717e-05
4708789,osmo1adzlr4t3cky4x5m9pg8y9nuavhxl8hyyxwduhd,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,44391844,3283,uosmo,39211639,2900,7.393697978070637e-05
4708803,osmo14hg3dtn0gc0dadmjth7hhpmtxnlwdepyh7mxue,/osmosis.gamm.v1beta1.MsgExitPool,678,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,59456490,4397,uosmo,52515503,3883,7.393697978070637e-05
4708805,osmo10qx8j604ll0tkzvel704z97hukwsmfmy3ttyf9,/osmosis.gamm.v1beta1.MsgExitPool,1,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,54047,2,uosmo,423711,14,3.126760951429323e-05
4708808,osmo1vaysxz87gfl0wm6n5rvy7ec6qm73rep79cn8g6,/osmosis.gamm.v1beta1.MsgExitPool,498,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4699486,5,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,11582579,11,8.675335603733168e-07
4708815,osmo10qx8j604ll0tkzvel704z97hukwsmfmy3ttyf9,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,939,1,uosmo,2973,1,1.8942785390217528e-05
4708818,osmo1d8etkcl43lp9nhdsflmm9y3krl7dutwj2493rh,/osmosis.gamm.v1beta1.MsgExitPool,497,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,1445824,28,uosmo,4575534,87,1.8942785390217528e-05
4708820,osmo10qx8j604ll0tkzvel704z97hukwsmfmy3ttyf9,/osmosis.gamm.v1beta1.MsgExitPool,604,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,120497,4,uosmo,3387,1,3.07270847983601e-05
4708826,osmo10qx8j604ll0tkzvel704z97hukwsmfmy3ttyf9,/osmosis.gamm.v1beta1.MsgExitPool,605,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,42520671,609,uosmo,1735,1,1.4303528413185942e-05
