block,sender,pool_id,msg_type,original_shares,new_total_shares,denom_1,pool_original_amount_1,pool_adjustment_amount_1,denom_2,pool_original_amount_2,pool_adjustment_amount_2
4709069,osmo14vazvwyks97lz6hn0gukfpuhw6lzz7rkwexvgj,606,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,378063024537367020779574353,378063222036041703452218880,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,16837114632,16837114632,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,3226030227605721,3226033603600727
4709070,osmo19v9pkens9uaplrdh6kl7rp9j482uhv3rq4c0qe,1,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,392357955678738865897457204,392357958490016844126934876,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5335968915769,5335968991795,uosmo,41421977805012,41421977805012
4709073,osmo1k9z4dnh9m4x5ad0t3aecgkyddydk4vdfvx5zqx,678,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,2970652102523655336156854,2970652129106348905138843,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14910034055944,14910034055944,uosmo,13448861805395,13448862041411
4709075,osmo1nfh9vmfaxxnqcrkw3gepey6k6ptsnsh4u0h3mw,722,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,1735945356386033167026188,1735975555576198961765470,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,187310486876648322380489,187316987221873734515925,uosmo,339181456558,339181456558
4709077,osmo1dswkrjk52mmz3n7sdre4xw3f2vv9q97ffzlw65,722,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,1735975555576198961765470,1735976489388754700845466,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,187316987221873734515925,187316987221873734515925,uosmo,339181456558,339181820588
4709079,osmo19cddafns88ldqh3hp0fpsvxv76zulfxphyjlg5,678,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,2970652129106348905138843,2970657432261822230344254,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14907861342302,14907861342302,uosmo,13450748208428,13450795309235
4709087,osmo14vazvwyks97lz6hn0gukfpuhw6lzz7rkwexvgj,584,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,167562797208913318392792,167562811078894213301122,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,1442000143166,1442000143166,uosmo,1633108028488,1633108299653
4709088,osmo1dys4wzuvqw578x7wyzj3wmk2xxz533dz4sxq0t,1,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,392357396570676088175699412,392357543695129465886069200,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5336452253122,5336452253122,uosmo,41418184088056,41418215388056
4709097,osmo1zaw87wta6m9757fve3gqz54f98vkn3k7y7vvlu,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,590970388065469418127292,590970413970572526188578,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16309749891,16309751313,uosmo,4391740822472,4391740822472
4709099,osmo1l9ts6a4ynv53ta0np3ml73ujle0pl0m03ferhc,1,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,392357543472212858943663549,392357546198475819731312986,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5336443969123,5336443969123,uosmo,41418281839251,41418282419251
4709105,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,590108448241230976634567,590108448352861920287902,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16316454610,16316454610,uosmo,4393545807123,4393545808773
4709105,osmo1fxrkllc8ne49ra299dk67n7ld6nghe4q4k0036,678,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,2970657432261822230344254,2970657432664639837083388,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14891476018545,14891476022670,uosmo,13465038076753,13465038076753
4709105,osmo125uqhtx5hj798veay2p274lzz0l3km8j4eh7x7,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,590108448352861920287902,590110081587303586197668,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16316454610,16316454610,uosmo,4393545808773,4393569949396
4709105,osmo1k9vuexdgj3cyzwp49y3yqeapsr4ga3mgldys7v,1,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,392357546198475819731312986,392357598385397029524433325,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5337654716480,5337654716480,uosmo,41408779681527,41408790781527
4709118,osmo1llvcad43vje9gpgvcqzy8f2dcptd7dt8l4gup3,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,589375812927226463908004,589375853873012182320278,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16326097240,16326097240,uosmo,4396383875224,4396384480082
4709118,osmo13t0vcrdlj3vju5pqgwzlyr7lcw9s96ka7ygcwm,678,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,2970657426245361909138643,2970719734658588697307379,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14878398188085,14878398188085,uosmo,13476426519959,13476981004152
4709126,osmo1wp3ncrld720tnpfv4ly764uv9xjvhv28x2dm7e,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,588814314182272301026187,588819395955547977420711,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16326097240,16326097240,uosmo,4396384480082,4396459480082
4709128,osmo188al3kfvr9pwny8t820nzte39nwkeakzqmfrs9,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,588819395955547977420711,588819764385809937401865,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16326097240,16326097240,uosmo,4396459480082,4396464917632
4709129,osmo1xj6tdtk594mjrruucl4g39yvfhsahg8vdzf7ay,625,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,66303161288925717539021387,66304277484418272076177650,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,8444861940533,8445146554846,uosmo,90776354027,90776354027
4709131,osmo15vmpeg462mfd3zaau4xeuuq7xerm38vxg6a8p9,722,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,1735954629819747421152214,1735964514858381828240096,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,188563033275493694679515,188563033275493694679515,uosmo,336947189720,336951017893
4709133,osmo1g78g8x9fqfauvk5rsvy39htqt3mdcldzz7l99h,577,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,1912039406213507371680,1912044743957349732743,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,5349615846962,5349645758826,uosmo,398996074425,398996074425
4709137,osmo15vmpeg462mfd3zaau4xeuuq7xerm38vxg6a8p9,617,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,2937507413929900503419,2937544296927841114755,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2192268567,2192268567,ibc/7A08C6F11EF0F59EB841B9F788A87EC9F2361C7D9703157EC13D940DC53031FA,496344333438325,496356809830912
4709138,osmo1ed7an6qatn7kc2a0huh7w8vgl2ycdn4jmax4re,619,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,329271719713503686440809,329271719715012847418415,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,5776572614654,5776572614707,uosmo,106402059025,106402059025
4709139,osmo18yvp22eamwr8tzcvcuwjpvw2c00slr3za93p02,704,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,445911765900266294790615,445912582574847040755103,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3404920485603495655925,3404920485603495655925,uosmo,5465012814244,5465032819863
4709143,osmo1d0hk2gflp7hsejy4t2a750g34w2m9nelge0u68,674,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,843902465319924749973798,844011102638857170400478,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,2659495240398252999505632,2659495240398252999505632,uosmo,2356719519953,2357322439953
4709143,osmo1z50utzfwjrmphtn4xxneu8m8k3ua2wkj3ffqyh,704,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,445912582574847040755103,445912609119871798782149,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3404900555407430590594,3404900555407430590594,uosmo,5465064887418,5465065537681
4709148,osmo1au7jxz2z0tq0j760hgvg5hwrrahtza3rnc63d0,463,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,29397156861207519979588,29399146043181427459213,ibc/1DC495FCEFDA068A3820F903EDBD78B942FBD204D7E93D3BA2B432E9669D1A59,520270287841,520270287841,uosmo,319177525039,319220785217
4709149,osmo1us4fwmkg8cs3etft27p3x0gmk2k7c3l6z7e27v,577,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,1912023785009585803352,1912035842208361329588,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,5349647917597,5349715483808,uosmo,398995913905,398995913905
4709155,osmo1lkd98pq7ea0xxx7nx3tteayjfd0k5hq78xckh0,648,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,293139725213444020779538065,293140339294696143671237545,ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,917877843187620685115794,917877843187620685115794,uosmo,170669305468,170670021198
4709155,osmo1tnsq39570fpckxy4sjrmgppyw8u9kgdletcxdl,643,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,13526607055249245399824,13526642418442072516400,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,15867277840,15867277840,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,4736782429198,4736807232119
4709155,osmo1fnyh6zunlud8t46mlz7hc7hdf7t6rkvpw0djzv,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,585218604387063866440156,585218630611583456470318,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16349001461,16349002895,uosmo,4410545364993,4410545364993
4709158,osmo1lkd98pq7ea0xxx7nx3tteayjfd0k5hq78xckh0,648,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,293140339294696143671237545,293140394269584851506076842,ibc/8061A06D3BD4D52C4A28FFECF7150D370393AF0BA661C3776C54FF32836C3961,917877843187620685115794,917878187788894748195368,uosmo,170670021198,170670021198
4709163,osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,1,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,392357519203592878434989825,392357519313362190148104494,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5337124876761,5337124876761,uosmo,41413016095074,41413016118424
4709166,osmo1pq7mnp9wk5mzeus9gz047ajalzcl2q7pvey5j4,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,583920003012761804470103,583920091160710568262353,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16348963802,16348963802,uosmo,4410555932883,4410557230512
4709166,osmo17329x9x02qepkaqfx8rpyvn2x0pp5v3f7w3qtt,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,583920091160710568262353,583920442666773603306339,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16348963802,16348982983,uosmo,4410557230512,4410557230512
4709169,osmo1as7ufzy5y8mnuygzx74nk4u3xc3jjgdf5vsfh9,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,583920442666773603306339,583920483164537185748972,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16348948732,16348948732,uosmo,4410566489313,4410567085483
4709172,osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,604,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,348495475359043660697,348495475364615285270,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,71448765604533,71448765606821,uosmo,2011636831310,2011636831310
4709173,osmo1ed7an6qatn7kc2a0huh7w8vgl2ycdn4jmax4re,674,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,844011031264383007472799,844011033516621036135043,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,2659497453838599044328799,2659497468146060785654896,uosmo,2357320512699,2357320512699
4709175,osmo1w7jtw32jfhapzmncm5p0wx994298zas5esg533,662,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,10570092285995223494585,10570102147589852290528,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,1318789929791530,1318792421774037,uosmo,11297358190,11297358190
4709178,osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,641,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,22122555081466948038573440,22122555081968445614098037,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,13223074570747,13223074571347,uosmo,347915808489,347915808489
4709182,osmo14q6zgk3jedyyzuvsfzk5u2wmwj3qxaqtrrqlpc,1,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,392356898875002773244693829,392356933277265089702292499,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5337081292610,5337081292610,uosmo,41413361105161,41413368423223
4709182,osmo1wp3ncrld720tnpfv4ly764uv9xjvhv28x2dm7e,726,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,8497406156854294152838,8500991967012373651516,ibc/785AFEC6B3741100D15E7AF01374E3C4C36F24888E96479B1C33F5C71F364EF9,2808519672,2808519672,uosmo,10656692588,10665692588
4709184,osmo1fj8d32l98legw3l23ag5gl6ulc64akfr2fq32m,611,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,1075232035792749573467982,1075232109057963276757205,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,88606760258,88606760258,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,24655795451397,24655798816357
4709185,osmo1r53fsf392ty2ag6e3edj9722muqhnptd5t65rh,674,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,844011033516621036135043,844011644755484220441633,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,2659456983902107850264941,2659456983902107850264941,uosmo,2357355955012,2357359347560
4709185,osmo1ed7an6qatn7kc2a0huh7w8vgl2ycdn4jmax4re,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,581445099607368692788785,581445100512059920793935,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16382618152,16382618152,uosmo,4419653504881,4419653518199
4709187,osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,662,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,10570102147589852290528,10570102281502944900845,ibc/41999DF04D9441DAC0DF5D8291DF4333FBCBA810FFD63FDCE34FDF41EF37B6F7,1318792421774037,1318792455613315,uosmo,11297358190,11297358190
4709190,osmo16jlqxlelp42c77d3mg9njf99gdwcjdesdge4xq,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,581444976808967452721065,581447059790571966401247,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16382618152,16382618152,uosmo,4419653518199,4419684181912
4709194,osmo1dp93666vjfd9cd952lpy0eh38nwv0vmvf9h969,641,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,22122555081968445614098037,22122557802104509560914828,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,13223147810854,13223151065288,uosmo,347913885326,347913885326
4709195,osmo1c4sug6r2fdelulq3yl206ds83c4yyxn6lkcchn,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,579475899879013149256033,579475927611313424975876,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16365125659,16365127166,uosmo,4424417815701,4424417815701
4709195,osmo19gyx7c9gy34mp63tqps434rwz5cel3al7ddzlq,1,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,392356933277265089702292499,392356994384016947793374041,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5337122184593,5337122184593,uosmo,41413048640208,41413061640208
4709196,osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,674,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,844011644755484220441633,844011648962432306872027,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,2659429086473936096050208,2659429086473936096050208,uosmo,2357383771286,2357383794636
4709197,osmo1wp3ncrld720tnpfv4ly764uv9xjvhv28x2dm7e,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,579475927611313424975876,579476591576280322288271,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16365127166,16365127166,uosmo,4424417815701,4424427570436
4709199,osmo1dp93666vjfd9cd952lpy0eh38nwv0vmvf9h969,641,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,22122557802104509560914828,22122564896200185471058163,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,13223151065288,13223151065288,uosmo,347913885326,347914108642
4709205,osmo1swxrvqjycece2zg6475rhaz3k4mr3smfk02twr,601,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,44194071992348708533289,44194083456300213325742,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,3277849870514,3277851570514,uosmo,943128366208,943128366208
4709206,osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,678,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,2970718225060732595619946,2970718227689057650863214,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14895041680763,14895041680763,uosmo,13462594267720,13462594291070
4709206,osmo1jsqlc2qp4lhrxmqaljn6g2w4628mlec68cnla6,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,575768110035355986569871,575768411495239866294756,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16415386387,16415386387,uosmo,4438015691676,4438020120620
4709206,osmo1wmp3pwd9chmhjpp3549re960f78te2qa4eknzx,463,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,29399146043181427459213,29401650015088830637784,ibc/1DC495FCEFDA068A3820F903EDBD78B942FBD204D7E93D3BA2B432E9669D1A59,520558932933,520558932933,uosmo,319044319030,319098748783
4709210,osmo1swxrvqjycece2zg6475rhaz3k4mr3smfk02twr,604,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,348492388565149336752,348492449453075512689,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,71445207636609,71445232636609,uosmo,2011703176073,2011703176073
4709215,osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,704,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,445912607207650112963319,445912608160145771855553,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3403746195315948953692,3403746195315948953692,uosmo,5466924994545,5466925017895
4709223,osmo19he45k2tagrzuh6td3urv0l6889m9vdvvfff72,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,567162786227600311149586,567162787823426492785153,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16481597763,16481597763,uosmo,4460684543937,4460684567287
4709224,osmo1ac2n020sqac6ku5np7zukd0y22z4r46urfpuvz,712,/osmosis.gamm.v1beta1.MsgJoinSwapExternAmountIn,567162787823426492785153,567166806421397172604105,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16481597763,16481597763,uosmo,4460684567287,4460743367287
