block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares,was_exit_clean,sender_original_amount_1,sender_original_amount_2,pool_denom_1,pool_original_amount_1,pool_adjustment_amount_1,pool_denom_2,pool_original_amount_2,pool_adjustment_amount_2
4707424,osmo15xd8465ylem38zkerjc8vn04h00n9zwurukg99,497,/osmosis.gamm.v1beta1.MsgExitPool,1402479159282569271495367,5709257149050571712,1402473450025420220923655,1,5458532,17256141,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,1340888584986,5458532,uosmo,4238971515271,17256141
4707426,osmo1ssxqvhz3datp0apqkf4tkyjm95qesd4dx6w7mp,498,/osmosis.gamm.v1beta1.MsgExitPool,485056262351524021130380,12199750010717854934,485044062601513303275446,1,5342628,13254051,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,212420376997,5342628,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,526974794055,13254051
4707429,osmo1ky7wgt03lwp2sa8fcxgmcd5j49ctwxq2tynnyv,629,/osmosis.gamm.v1beta1.MsgExitPool,614208445304805906633,1114753448896793581,613093691855909113052,1,96861666090957020888966,754252590,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,53368978941699592272353156,96861666090957060177920,uosmo,415579168257,754252590
4707434,osmo1ky7wgt03lwp2sa8fcxgmcd5j49ctwxq2tynnyv,629,/osmosis.gamm.v1beta1.MsgExitPool,613093691855909113052,1114753448896793581,611978938407012319471,1,96861666090957026705938,754252590,ibc/8318FD63C42203D16DDCAF49FE10E8590669B3219A3E87676AC9DA50722687FB,53272117275608635212175236,96861666090957043400704,uosmo,414824915667,754252590
4707441,osmo1kw6ktgk0lc9z28yrqgshmlksm8cauemwtl98gl,704,/osmosis.gamm.v1beta1.MsgExitPool,446470129345782798145875,453614046114880281,446469675731736683265594,1,3472080506551380,5535633,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3418220099823041660081,3472914643279676,uosmo,5447143403876,5534302
4707470,osmo17d6eypvgf9p8cqfvfdpm5wldjlglvhz89ext68,1,/osmosis.gamm.v1beta1.MsgExitPool,392588009446545532814226680,191723333654131736677,392587817723211878682490003,1,2603382,20270237,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5331680962684,2603766,uosmo,41500885206570,20267272
4707505,osmo1w69hvwaqn23kmyx4vw7lgwgwu0ssyh7wu2hu5y,704,/osmosis.gamm.v1beta1.MsgExitPool,446469675743817457129510,6898407298396358576,446462777336519060770934,1,52802284284706528,84183912,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,3418221237751351969763,52814969560368616,uosmo,5447130608811,84163667
4707508,osmo1jxdx4nszha3hu2q49tylqasuc8tjct5wusueyr,561,/osmosis.gamm.v1beta1.MsgExitPool,1704148257795978707383077,10654601568117750937,1704137603194410589632140,1,3585459507,182185,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0,573626024782020,3586399666,uosmo,29132458940,182140
4707518,osmo1w69hvwaqn23kmyx4vw7lgwgwu0ssyh7wu2hu5y,678,/osmosis.gamm.v1beta1.MsgExitPool,2968493832495252268153878,30747991637649960883,2968463084503614618192995,1,154830882,138721118,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,14935692103095,154705571,uosmo,13403706401598,138837092
4707532,osmo1ptektdahwjdlh5s58u0p2yxn22jjfqcjc4e4yr,712,/osmosis.gamm.v1beta1.MsgExitPool,592551497330168387497033,10000000000000000000,592541497330168387497033,1,275049,73822124,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16322176554,275455,uosmo,4380772448016,73930662
