block,sender,pool_id,msg_type,original_pool_shares_previous_height,recorded_share_out,adjustment_share_out,extra_amount_percent
4707497,osmo1alwjdff8sgejhv3u5rtylatury4cuvr7y49s7h,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352153889827565046817894745,31038672547326874582850,20699437036079270592512.000000,7.645966271377248e-06
4707503,osmo15q08u2gz05hshx6hr6pxq8auzuysl5jvtk8j6q,641,/osmosis.gamm.v1beta1.MsgJoinPool,22138910188464816739039803,80044461820486818379,53381230124720439296.000000,1.2043475520985177e-06
4707505,osmo1lynjdpkq8gmw7lqr6jd7udh0xm68006g8p8hk0,674,/osmosis.gamm.v1beta1.MsgJoinPool,844946921237480862093827,2759041390259017611,1839981261630214144.000000,1.0877027850413683e-06
4707515,osmo1n6mqdxjlwvda8zgcw5t503gprnhn6gvs787drw,704,/osmosis.gamm.v1beta1.MsgJoinPool,446531730402455869258910,588624072888055673,392579529844176768.000000,4.390365874696476e-07
4707522,osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,604,/osmosis.gamm.v1beta1.MsgJoinPool,348562686096825978036,6123512581190601,4084403429359841.500000,5.849741403271525e-06
4707526,osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,712,/osmosis.gamm.v1beta1.MsgJoinPool,594229776164636831452472,69943726610921337991,46651075990946250752.000000,3.9184200804165216e-05
4707532,osmo1heqtu4cum6fs9rg9mj754ycvfdgl9ssm3n8j6n,601,/osmosis.gamm.v1beta1.MsgJoinPool,44198269948193894227899,844173976967604339,563080573793484544.000000,6.359463398374243e-06
4707544,osmo1dffxgxg79rfqh54lfz7xpx93qjdt38wksq9dgs,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588516890972077755691304,8847633592879096509,5900688502541155328.000000,7.506446990043407e-09
4707556,osmo1t5lx9y368e0fsf8yr84hqwdy3rqtut3p2n48qg,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738130546006112015282139,99077275722763402852,66074217061454725120.000000,1.8984426362992187e-05
4707561,osmo1klmkrcz8el7jr3waczxgptfuhd5cj0ej4s2yw2,712,/osmosis.gamm.v1beta1.MsgJoinPool,594292345209676601121551,2562352098499206298,1709037940280152064.000000,1.435830559323538e-06
4707565,osmo1jaey7087uuncesrxp0fk7frxwv4kyu6ywa480r,601,/osmosis.gamm.v1beta1.MsgJoinPool,44199114122170861832238,386615487800313809,257880101315185184.000000,2.9125471696594583e-06
4707590,osmo1gp437zc9e4gsuugn6udcve2vdarlrqf9cpk3f2,712,/osmosis.gamm.v1beta1.MsgJoinPool,594296805608903695820305,585075055494459852,390233437604928448.000000,3.278514036333554e-07
4707601,osmo1ve5k4ul2fj42heup7ac7qvkhxzfzjrf6ep8ess,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738229623281834778684991,46955281260024261731,31314278915358597120.000000,8.997507437079184e-06
4707615,osmo1xv6t5tqgglgwd0ngysm2h0qhkjs77euuprc6pc,1,/osmosis.gamm.v1beta1.MsgJoinPool,392588525929877089165741551,20620274961554131105,13752131358921478144.000000,1.7494506502216277e-08
4707617,osmo17wklrv0g6y0vw0cc88fn07h3hg90fjylpkxxcj,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968543515282413201408810,26632664526141696769,17762341716679712768.000000,2.988025551121235e-06
4707621,osmo16c0gt6s25js2ey6z7ggesy97nzsy0j6fustk6z,674,/osmosis.gamm.v1beta1.MsgJoinPool,844962623260501451602693,11637189896199434630,7760743069182171136.000000,4.587524288193477e-06
4707631,osmo1l02m8ug9cdm5s9p4qntt82ykjgkpyuw9u260yp,662,/osmosis.gamm.v1beta1.MsgJoinPool,10572179968258809733423,247371109577830066,164950117722222144.000000,7.795478716156772e-06
4707631,osmo1ep44f78erwu37s6dm6he95m85u2ayhw4jarws3,712,/osmosis.gamm.v1beta1.MsgJoinPool,594297410212055209543324,355739849994041684,237271412022369088.000000,1.9934164779145343e-07
4707633,osmo1qw8vwzfzquczf43gpk909tcrl5dnqe953l8hm0,712,/osmosis.gamm.v1beta1.MsgJoinPool,594297765951905203585008,6527459961172796666,4353686104980616192.000000,3.657597735112398e-06
4707646,osmo1nmea788jgcg3vl57spy8c94a0ycws8cpdfhm0z,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738292703011989609538351,7137959591983604777,4760275128843268096.000000,1.3678105813269827e-06
4707650,osmo1jtd6xjzzhyedpuu03ksggyadrdxjw8ps9wrag8,641,/osmosis.gamm.v1beta1.MsgJoinPool,22141431498918276207538848,42243869905168958160,28172214410334351360.000000,6.355313972428744e-07
4707651,osmo1z7qd2j77knchudz3a98r2e0dkquhx3r3pzslt7,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968570956442635110114666,9736417883083911475,6493589155000779776.000000,1.0923763797265712e-06
4707655,osmo1u870ksd35rctnae70kl602hzrqcnwe8tg8422j,726,/osmosis.gamm.v1beta1.MsgJoinPool,8497051112048394710173,6300585185951129099,4201964781651558400.000000,0.00024643278453621083
4707663,osmo1wd4wc8t8ctan5zeq4nxdntnxaq6cspyj5jf4t9,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738317161918948063740880,36931378890887096279,24629380727458299904.000000,7.076506994686596e-06
4707665,osmo1smrlapzwyv23cvna6s7jkwnenvcvcwnc62n2n6,604,/osmosis.gamm.v1beta1.MsgJoinPool,348568809609407168637,43367046154813,28925965234399.089844,4.142962630851382e-08
4707666,osmo1d6qk37ycqp49e458n0gghwrcl0pzrdylg89yvw,625,/osmosis.gamm.v1beta1.MsgJoinPool,66318053946836083180697914,54611189623226139158,36431461972509184000.000000,2.741287115336027e-07
4707666,osmo1u870ksd35rctnae70kl602hzrqcnwe8tg8422j,712,/osmosis.gamm.v1beta1.MsgJoinPool,594306800601323528736025,6581203963059397272,4389532286440411136.000000,3.687655595749366e-06
4707666,osmo1tvx0tmstj9zx0d25mcg8rr7man3x6qqrqzkq5c,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968584455285175285297864,62060023182064648,41390201030125496.000000,6.962854237728554e-09
4707667,osmo10dc7lataqm62tze9tm47f8sesrws709zfd3xhh,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968585906299325078062017,133188934388324594,88828790043283856.000000,1.494318836293003e-08
4707669,osmo1yeav86f6h0uehruhgu2jlpk6j5esfnyfpzfltk,604,/osmosis.gamm.v1beta1.MsgJoinPool,348568957879234529411,1171270143721796,781241114196249.750000,1.1189323804979302e-06
4707670,osmo1p8ew2l88udgdam8qa7pa8ez9qyazljps38hm2a,712,/osmosis.gamm.v1beta1.MsgJoinPool,594313518978376520030535,658601247623209779,439273946918992256.000000,3.6904186739513835e-07
4707671,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,3,/osmosis.gamm.v1beta1.MsgJoinPool,105672246507977630190202988,6434094393380119,4291447322479753.500000,2.027634635691079e-11
4707672,osmo1d6qk37ycqp49e458n0gghwrcl0pzrdylg89yvw,674,/osmosis.gamm.v1beta1.MsgJoinPool,844974260450397651037323,228791544830367264,152579137374877920.000000,9.019487228590163e-08
4707673,osmo13gd97ke6erejqk2p050xkpc63jhtujrevjue5p,722,/osmosis.gamm.v1beta1.MsgJoinPool,1738354093297838950837159,103681477161879885638,69144739570915983360.000000,1.9863935759358092e-05
