block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares
4707522,osmo197zhk2x8jrxdpqq0h675cfn932rnw4wp87gyut,604,/osmosis.gamm.v1beta1.MsgJoinPool,348562686096825978036,2039124659652015,348560646972166326021
4707526,osmo103w2uwpdf9p708c83nkyd0ys6fgqt94tdvjtgn,712,/osmosis.gamm.v1beta1.MsgJoinPool,592574603884912583417370,23363685414685148295,592551240199497898269075
4707532,osmo1heqtu4cum6fs9rg9mj754ycvfdgl9ssm3n8j6n,601,/osmosis.gamm.v1beta1.MsgJoinPool,44198269948193894227899,281109184807016659,44197988839009087211240
4707544,osmo1dffxgxg79rfqh54lfz7xpx93qjdt38wksq9dgs,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587838697740176430572958,2947214499358495421,392587835750525677072077537
4707556,osmo1t5lx9y368e0fsf8yr84hqwdy3rqtut3p2n48qg,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737697591744534172678987,33011749912884084324,1737664579994621288594663
4707561,osmo1klmkrcz8el7jr3waczxgptfuhd5cj0ej4s2yw2,712,/osmosis.gamm.v1beta1.MsgJoinPool,592543865517926746600163,856048448477004698,592543009469478269595465
4707565,osmo1jaey7087uuncesrxp0fk7frxwv4kyu6ywa480r,601,/osmosis.gamm.v1beta1.MsgJoinPool,44197988839009087211240,128746047540828145,44197860092961546383095
4707590,osmo1gp437zc9e4gsuugn6udcve2vdarlrqf9cpk3f2,712,/osmosis.gamm.v1beta1.MsgJoinPool,592544907516606865087921,195458143159870540,592544712058463705217381
4707601,osmo1ve5k4ul2fj42heup7ac7qvkhxzfzjrf6ep8ess,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737664579994621288594663,15646361183036077155,1737648933633438252517508
4707615,osmo1xv6t5tqgglgwd0ngysm2h0qhkjs77euuprc6pc,1,/osmosis.gamm.v1beta1.MsgJoinPool,392587835941797095603031275,6868803760410209441,392587829072993335192821834
4707617,osmo17wklrv0g6y0vw0cc88fn07h3hg90fjylpkxxcj,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968463084503614618192995,8871751772620395265,2968454212751841997797730
4707621,osmo16c0gt6s25js2ey6z7ggesy97nzsy0j6fustk6z,674,/osmosis.gamm.v1beta1.MsgJoinPool,844959864228101682816751,3876402429495042438,844955987825672187774313
4707631,osmo1l02m8ug9cdm5s9p4qntt82ykjgkpyuw9u260yp,662,/osmosis.gamm.v1beta1.MsgJoinPool,10572179968258809733423,82429331974350482,10572097538926835382941
4707631,osmo1ep44f78erwu37s6dm6he95m85u2ayhw4jarws3,712,/osmosis.gamm.v1beta1.MsgJoinPool,592544731586559724480548,118834675754288404,592544612751883970192144
4707633,osmo1qw8vwzfzquczf43gpk909tcrl5dnqe953l8hm0,712,/osmosis.gamm.v1beta1.MsgJoinPool,592544612751883970192144,2180781186121869562,592542431970697848322582
4707646,osmo1nmea788jgcg3vl57spy8c94a0ycws8cpdfhm0z,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737665058082333059109137,2378589851134520361,1737662679492481924588776
4707650,osmo1jtd6xjzzhyedpuu03ksggyadrdxjw8ps9wrag8,641,/osmosis.gamm.v1beta1.MsgJoinPool,22140272131361718280233166,14072633036125078224,22140258058728682155154942
4707651,osmo1z7qd2j77knchudz3a98r2e0dkquhx3r3pzslt7,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968455021247537764806817,3243372360643367219,2968451777875177121439598
4707655,osmo1u870ksd35rctnae70kl602hzrqcnwe8tg8422j,726,/osmosis.gamm.v1beta1.MsgJoinPool,8497051112048394710173,2098620887780658443,8494952491160614051730
4707663,osmo1wd4wc8t8ctan5zeq4nxdntnxaq6cspyj5jf4t9,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737680000439848395186528,12306731974899220439,1737667693707873495966089
4707665,osmo1smrlapzwyv23cvna6s7jkwnenvcvcwnc62n2n6,604,/osmosis.gamm.v1beta1.MsgJoinPool,348560646972166326021,14441474225527,348560632530692100494
4707666,osmo1d6qk37ycqp49e458n0gghwrcl0pzrdylg89yvw,625,/osmosis.gamm.v1beta1.MsgJoinPool,66318053946836083180697914,18191586659612727830,66318035755249423567970084
4707666,osmo1u870ksd35rctnae70kl602hzrqcnwe8tg8422j,712,/osmosis.gamm.v1beta1.MsgJoinPool,592544939160155000676933,2198769404040700568,592542740390750959976365
4707666,osmo1tvx0tmstj9zx0d25mcg8rr7man3x6qqrqzkq5c,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968455540299834212711321,20673296256366208,2968455519626537956345113
4707667,osmo10dc7lataqm62tze9tm47f8sesrws709zfd3xhh,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968456908580664567044618,44367714970681170,2968456864212949596363448
4707669,osmo1yeav86f6h0uehruhgu2jlpk6j5esfnyfpzfltk,604,/osmosis.gamm.v1beta1.MsgJoinPool,348560737433473306455,390041742159102,348560347391731147353
4707670,osmo1p8ew2l88udgdam8qa7pa8ez9qyazljps38hm2a,712,/osmosis.gamm.v1beta1.MsgJoinPool,592542877563840891873603,220025691401407251,592542657538149490466352
4707671,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,3,/osmosis.gamm.v1beta1.MsgJoinPool,105672246507977630190202988,2132953663894639,105672246505844676526308349
4707672,osmo1d6qk37ycqp49e458n0gghwrcl0pzrdylg89yvw,674,/osmosis.gamm.v1beta1.MsgJoinPool,844955987825672187774313,76212457189706144,844955911613214998068169
4707673,osmo13gd97ke6erejqk2p050xkpc63jhtujrevjue5p,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737667693707873495966089,34550860024170297158,1737633142847849325668931
4707673,osmo1smrlapzwyv23cvna6s7jkwnenvcvcwnc62n2n6,601,/osmosis.gamm.v1beta1.MsgJoinPool,44197862406863648897079,12023138045331175,44197850383725603565904
4707674,osmo15qtsn35ggl0dmm6qcxv3445pwa3gh5t5hpkwjm,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968456864212949596363448,33154871275560339,2968456831058078320803109
4707674,osmo1q4edn2j8gewak9rctjeyw9nntwv4wwj36nyv8y,3,/osmosis.gamm.v1beta1.MsgJoinPool,105672246505844676526308349,40163523496396740850,105672206342321180129567499
4707675,osmo1k0lf96eev5zuqwdjtalzsu6ugqjjj7ynymkze7,712,/osmosis.gamm.v1beta1.MsgJoinPool,592544134793696578946489,16651994923432169,592544118141701655514320
4707678,osmo1g692jde5e7nqpml4rmxgge22m3qvft8u88z3dz,648,/osmosis.gamm.v1beta1.MsgJoinPool,293135947821752743347581103,20941923039267191357,293135926879829704080389746
4707678,osmo1rysg5xsecpa2gqdxv2kr00dqys63gt8eekg0d2,601,/osmosis.gamm.v1beta1.MsgJoinPool,44197850383725603565904,74406197694712971,44197775977527908852933
4707678,osmo1g659w4l93h7f6ljmcn95m0ygxzq4nq4vfx03qc,619,/osmosis.gamm.v1beta1.MsgJoinPool,329271851097350022826587,2063360530500397,329271849033989492326190
4707679,osmo13p4tyrzhgfwhzryg0gewfnfrrs2n4jp2k0tmp7,578,/osmosis.gamm.v1beta1.MsgJoinPool,696041425712240421383,2428158923722346,696038997553316699037
4707680,osmo16vypav8wwznpq4x0sgjv8k4l34urv5vg09xhyj,9,/osmosis.gamm.v1beta1.MsgJoinPool,1352407458036490701547894246,5554689298547285818880,1352401903347192154262075366
4707680,osmo1gwg4xrru3gtls2z9syretn7zquxc4a8agu9pt0,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737653524948114078945768,289528890078777242,1737653235419224000168526
4707681,osmo1mvccc0xt6g8lm5stldfzmjfdg4vhq9rd90df7f,577,/osmosis.gamm.v1beta1.MsgJoinPool,1912168247572349027781,275534768273,1912168247296814259508
4707681,osmo1j9gc8kex8djc8y9ns83v0f46kt2rrkdzy6lpks,601,/osmosis.gamm.v1beta1.MsgJoinPool,44197775977527908852933,13139287381252339,44197762838240527600594
4707682,osmo19jtn9xx65x5q5z5d5k2egkk2h25a9pqfxtr2jl,601,/osmosis.gamm.v1beta1.MsgJoinPool,44197762838240527600594,10893758067341414,44197751944482460259180
4707683,osmo1yllrndphe5zj63vg4nxupqcqqa2n6l567taf2m,712,/osmosis.gamm.v1beta1.MsgJoinPool,592545024440594339651310,23842560498666220882,592521181880095673430428
4707684,osmo14mz27u8mqdhh5wqpv6qkxkcvalxw2gxejjrxx4,712,/osmosis.gamm.v1beta1.MsgJoinPool,592521181880095673430428,1696817058904641747,592519485063036768788681
4707685,osmo10zw447gf2dyr5suraf4ddmuutznwtlwr6p2kpk,678,/osmosis.gamm.v1beta1.MsgJoinPool,2968457020755907173207338,79135331280676312,2968456941620575892531026
4707685,osmo1597ul4wuad2kftqapd8w3733350zl3pwr8e9eq,722,/osmosis.gamm.v1beta1.MsgJoinPool,1737653235419224000168526,5374923998277365732,1737647860495225722802794
4707689,osmo1jmcqdyh9auemdr35xnqsywpagd9ty3yxqqgh55,701,/osmosis.gamm.v1beta1.MsgJoinPool,193561789204992055654591,499912795909859813,193561289292196145794778
4707692,osmo1j9gc8kex8djc8y9ns83v0f46kt2rrkdzy6lpks,648,/osmosis.gamm.v1beta1.MsgJoinPool,293135926879829704080389746,176180878334327,293135926879653523202055419
4707692,osmo15xq28alrsk6plt4dp7ag7pjvtyangmx6jtyg4c,578,/osmosis.gamm.v1beta1.MsgJoinPool,696038997553316699037,26547698370151911,696012449854946547126
4707692,osmo1cl3swpzudwjpwmswcjldfz8gt2p3zy4wrydfxq,604,/osmosis.gamm.v1beta1.MsgJoinPool,348560347391731147353,16306413671461,348560331085317475892
4707692,osmo1fxh7fwq3tds2jn3ed357vxthcxhlc0hftupg4w,712,/osmosis.gamm.v1beta1.MsgJoinPool,592519808279407354529202,108605631527026183,592519699673775827503019
