block,code,msg_type,sender,pool_id,share_in,denom_1,amount_1,denom_2,amount_2,estimated_gamm,extra_gamm,ratio
4712662,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1j2sd360k64vg9p6adc9mlhaayywtttxs3hg4x9,712,17951351243271778358,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,309918,uosmo,83680537,11971590902353672192,5979760340918106166,0.49949588068052475
4712674,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1nj9z03zyaetysmp2gh4ehyh90r9gu7fzsvampq,678,1163865285372192073,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,3973730,uosmo,3444036,776168963545482496,387696321826709577,0.4994999027734135
4712682,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1a5fdjkm0gyyq4p88uuxadk49xe79dj2gwc4vgk,678,27383878080795575519,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,93494416,uosmo,81033603,18262015482065366016,9121862598730209503,0.4994992260130622
4712695,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1q8v5vutp5x6jej33qfdjqd5xjmls65r93yzxw9,611,37774392717378435470,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2048480,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,585503153,25195575355144898560,12578817362233536910,0.49924707750978037
4712703,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,469291089319674011583125,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4090027492,uosmo,33345867486,312985928674775931027456,156305160644898080555669,0.4993999612273783
4712709,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18wjm7rwth43et04yf66srg5salqpgncshuleas,1,845506939208247193,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,7367,uosmo,60045,563893720908426272,281613218299820921,0.4994083244022389
4712714,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,704116871344359613118305,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6135002211,uosmo,50008291341,469614900553848031543296,234501970790511581575009,0.49934951066064515
4712715,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo14wfdtc0pjznad8t2fqrjyxpymycp9kkft5kavf,722,370665372242657146327,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,27917279732049566567,uosmo,45596980,247195522627172974592,123469849615484171735,0.4994825484833103
4712715,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo178rudcp6h8kslyn9axsja0gdyxrppv43stes4q,722,4314185098535736364,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,324903514744967731,uosmo,530662,2876883073480604672,1437302025055131692,0.49960390754296724
4712718,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1wcnj55flkwylm5fvvkfxns23s9jpy5fc237trj,611,82065411458238191382,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4450498,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,1271948572,54737874907890180096,27327536550348011286,0.49924365160929707
4712723,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo17newevzrcmwfu89n4w8fu0ywyn5fs8dqm3vhs4,1,568516249735730708504,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4950000,uosmo,40349886,379137244226998272000,189379005508732436504,0.49949987344252267
4712727,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1w6n8wg0se2alsdru6ttp7lwmrkspvh7mk0ysxd,704,291221142274193952,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,2182889075614180,uosmo,3453041,291221142274415072,-221120,-7.592815265411446e-13
4712732,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1za34x4r5fq8jmuk6gvsufx5pt5vz2hltgtxnpz,704,3198445599223326184,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,23974399327495299,uosmo,37924320,3198445599223487744,-161560,-5.051514762044462e-14
4712736,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,527000302619925787356765,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4585021866,uosmo,37437559616,351477034416278681419776,175523268203647105936989,0.49938758728618016
4712744,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,789957746519768145853922,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6870014532,uosmo,56094709084,526873482208127261605888,263084264311640884248034,0.49933100297447974
4712744,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1l5nf5vws4h2w8zx9k6xnrwzzlp8e9zjxet9j9w,678,29286939461634880562,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,99998968,uosmo,86658460,19531147430887782400,9755792030747098162,0.499499175113423
4712750,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,1183934137911996641170545,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,10290219400,uosmo,84017604173,789686579352816496672768,394247558559180144497777,0.4992456106855503
4712756,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1w7j2v5ap4gam3592kz0j8l6y42xh0ne50zay5l,712,2355042572497415556,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,40657,uosmo,10978290,1570563848710588672,784478723786826884,0.4994885909483229
4712756,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1205d6suxd28uz6jwjst7957kjnrjxh4qqq4t7a,553,45135077694508657412925735,ibc/9989AD6CCA39D1131523DB0617B50F6442081162294B4795E26746292467B525,3698061550,uosmo,8042,30101331736121859561750528,15033745958386797851175207,0.4994379016243382
4712771,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,8786098733291731828,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,29954079,uosmo,26037114,5859353298159230976,2926745435132500852,0.49949973763349687
4712775,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,1,885740776852555687956347,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,7685095911,uosmo,62834433966,590765487712446823006208,294975289140108864950139,0.499310293636664
4712782,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,13202366377655891749,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,45010790,uosmo,39123960,8804514637524770816,4397851740131120933,0.49949962277165305
4712789,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1hq8tlgq0kqz9e56532zghdhz7g8gtjymdltqer,678,19796929095104356043,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,67474352,uosmo,58682963,13202358443796753408,6594570651307602635,0.4994994401478412
