block,sender,pool_id,msg_type,original_shares,share_adjustment,new_total_shares,was_exit_clean,sender_original_amount_1,sender_original_amount_2,pool_denom_1,pool_original_amount_1,pool_adjustment_amount_1,pool_denom_2,pool_original_amount_2,pool_adjustment_amount_2,adjustment_ratio
4710092,osmo1wfw3cdg5uvt0r5lawxr300lpthj48wx23f9y2q,584,/osmosis.gamm.v1beta1.MsgExitPool,167561998616522937372845,53830233213891232,167561944786289723481613,0,695903,785301,ibc/0954E1C28EB7AF5B72D24F3BC2B47BBB2FDF91BDDFD57B74B99E133AED40972A,1448482812297,231813,uosmo,1625800592040,261592,1.4994982073265835
4710126,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567267862236801109045777,1737542419939812864,567266124694381169232913,0,70476,19004345,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16514794630,23470,uosmo,4453616754383,6328825,1.4992950350061718
4710132,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567264628041651384907414,2624805534302288384,567262003236117082619030,0,106464,28708709,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16514818100,35455,uosmo,4453623083208,9560571,1.4992950350061718
4710141,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567259768733840946462542,3918725778672514048,567255850008062273948494,0,158964,42855831,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16516714159,52939,uosmo,4453131982793,14271844,1.4992950350061718
4710147,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567252498544961633999237,5877434621137157120,567246621110340496842117,0,238419,64276277,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16516767098,79399,uosmo,4453146254637,21405278,1.4992950350061718
4710151,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567241583140812321618210,8834670454046647296,567232748470358274970914,0,358377,96616221,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16516846497,119347,uosmo,4453167659915,32175122,1.4992950350061718
4710155,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567225201520344311046366,13233614701427677184,567211967905642883369182,0,536814,144721601,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16516965844,178770,uosmo,4453199835037,48195169,1.4992950350061718
4710159,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567200646303410144533640,19850606305949753344,567180795697104194780296,0,805215,217080957,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16517144614,268153,uosmo,4453248030206,72292272,1.4992950350061718
4710163,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567164244195697201604499,29757878363054460928,567134486317334147143571,0,1207061,325416131,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16517412767,401976,uosmo,4453326499225,108370038,1.4992950350061718
4710169,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567109029124601355827563,44619390623789383680,567064409733977566443883,0,1809817,487915368,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16517814743,602706,uosmo,4453434869263,162485512,1.4992950350061718
4710173,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,567026222543427621448054,66910394886469992448,566959312148541151455606,0,2713815,731627610,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16518417449,903755,uosmo,4453597354775,243646531,1.4992950350061718
4710178,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,566902020213454319434492,100337542008683036672,566801682671445636397820,0,4069243,1097042394,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16519321204,1355139,uosmo,4453841001306,365336914,1.4992950350061718
4710181,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,566715719299196270508265,150443980384369377280,566565275318811901130985,0,6100567,1644674604,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16520676343,2031611,uosmo,4454206338220,547709320,1.4992950350061718
4710185,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,566436230966600331545013,225599600367326625792,566210631366233004919221,0,9146430,2465819957,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16522707954,3045943,uosmo,4454754047540,821167038,1.4992950350061718
4710190,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,566016832463562430119285,338254619601866457088,565678577843960563662197,0,13709878,3696102423,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16525741199,4565662,uosmo,4455578644888,1230875542,1.4992950350061718
4710194,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,565387311886678665791786,507180784070467715072,564880131102608198076714,0,20547932,5539601530,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16530306861,6842870,uosmo,4456809520430,1844797372,1.4992950350061718
4710198,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,564441866561731284090220,760438633483087118336,563681427928248196971884,0,30788730,8300507161,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16537104559,10253259,uosmo,4458666520477,2764233802,1.4992950350061718
4710202,osmo1ux20lcw7et2j8kl8gfdep78lacew4dqqjp5dvp,712,/osmosis.gamm.v1beta1.MsgExitPool,563020855812120472178632,1140103791524591435776,561880752020595880742856,0,46116658,12432849359,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16547357818,15357764,uosmo,4461430754279,4140385856,1.4992950350061718
4710760,osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,722,/osmosis.gamm.v1beta1.MsgExitPool,1735859675901774475693310,2361484019291373056,1735857314417755184320254,0,394075981958565997,665495,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,194223667316713069056011,131268372638583341,uosmo,327851624117,221680,1.499484672373991
4711050,osmo1ugg4nh0vgmqwvkvkjaw745hh70j5aae6y7m6ux,1,/osmosis.gamm.v1beta1.MsgExitPool,392226473754075537236780981,170647692834445361152,392226303106382702791419829,0,3445541,27278897,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5361801800570,1147632,uosmo,41194401981712,9085979,1.4994239382520917
4711845,osmo10rgny3xd5fvg02wnmy4h9zuktnfthvrlwdjwf5,1,/osmosis.gamm.v1beta1.MsgExitPool,392214380082501298099757360,296037320139814207488,392214084045181158285549872,0,5983822,47270597,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,5373597332412,1993075,uosmo,41099957999430,15744759,1.4994239382520917
4712107,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,561781007075651586671369,47507814310101196800,561733499261341485474569,0,1934630,514302246,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16680418683,644271,uosmo,4436521030848,171272867,1.4992950350061718
4712115,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,561691825743130864196007,71237699747982917632,561620588043382881278375,0,2900794,771147301,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16681062954,966023,uosmo,4436692303715,256807373,1.4992950350061718
4712138,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,561516309586321400601055,178171504109813825536,561338138082211586775519,0,7253182,1928647997,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16680091861,2415454,uosmo,4437465168334,642278102,1.4992950350061718
4712144,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,561182042728322410844952,267158041136831561728,560914884687185579283224,0,10873293,2891253538,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16682506828,3621023,uosmo,4438114162596,962844873,1.4992950350061718
4712158,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,560679708466182557322231,400581063196039380992,560279127402986517941239,0,16297055,4334023931,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16685064306,5427244,uosmo,4439360393933,1443316079,1.4992950350061718
4712163,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,559925559497581018308793,600620507327798181888,559324938990253220126905,0,24423078,6495058616,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16690482237,8133371,uosmo,4440806191760,2162983565,1.4992950350061718
4712168,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,558792641957985375727044,900516482375367262208,557892125475610008464836,0,36590214,9730779330,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16698615608,12185269,uosmo,4442969175325,3240542851,1.4992950350061718
4712170,osmo1yglld3aary7lnrrn2dz7la84kmnmen4kpsxzay,712,/osmosis.gamm.v1beta1.MsgExitPool,557892110382643957691996,29729152504033108,557892080653491453658888,0,1207,321323,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16706961580,402,uosmo,4447233028033,107007,1.4992950350061718
4712173,osmo18qx59wy8s3ytax3e0akna934e86mw776vlzjtq,712,/osmosis.gamm.v1beta1.MsgExitPool,557089180591374906879602,1350066232003876618240,555739114359371030261362,0,54781696,14575544565,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,16706961982,18243394,uosmo,4447233135040,4853945931,1.4992950350061718
